index,name,weight,label
494,RAGI CHOCOLATE MALT,100GM,
495,SPROUTED BLACK CHANNA  FLOUR,250GM,MULAIKATTIYA KARUPPU SUNDAL MAAVU
496,F2B HEALTH MIX,,SATTHU MAAVU
497,SPROUTED LITTLE FINGER  FLOUR,500GM,MULAIKATTIYA RAGI MAAVU
498,SPROUTED  PEARLMILLET  FLOUR,250GM,MULAIKATTIYA KAMBU MAAVU
499,SPROUTED  PEARLMILLET  FLOUR,500GM,MULAIKATTIYA KAMBU MAAVU
500,FOXTAIL VENPONGAL MIX,250GM,THINAI
501,RAGI  FLOUR,500GM,KELVARAGU MAAVU
502,RED SORGUM FLOUR,,SIVAPU CHOLAM MAAVU
503,BENGAL GRAM,250GM,KADALAI MAAVU
504,BENGAL GRAM,500GM,KADALAI MAAVU
505,MULTIMILLET CHAPATHI FLOUR,,SIRUTHANIYA
506,LITTLE MILLET DOSA FLOUR,500GM,SAAMAI
507,BRIDEGROOM DOSA FLOUR,500GM,MAPPILAI SAMBA
508,BARNYARD DOSA READY MIX,500GM,KUTHURAIVALI
509,PROSO MILLET PANIYARAM READY MIX,500GM,PANI VARAGU
510,SPROUTED HORSE GRAM FLOUR,250GM,MULAIKATTIYA KOLLU MAAVU
511,HEALTH MIX,,SATTHU MAAVU
512,SEVEN FLOURS DOSAI MIX,500GM,ELLU MAAVU
513,TRIAL PACK,,
514,FLUFFY PADS,,JUMBO PACK
515,FLUFFY PADS,,JUMBO
516,MATERNITY PADS,,
517,ADULT DIAPERS,,
518,SWEAT PADS,,
519,FLUFFY PADS,,
520,FLUFFY PADS,,JUMBO MIX
521,SLIMMY PADS,,
522,SLIMMY PADS,,
523,PANTY LINERS,,
524,FLUFFY PADS,,
525,FLUFFY PADS,,
526,FLUFFY PADS,,
527,MATERNITY PADS,,
528,ADULT DIAPER,,
529,MATERNITY PADS,,
530,TRAIL PAD,,
531,BUTTER FRUIT,,AVACODO
532,ELAKKI,,BANANA
533,POOVAN,,BANANA
534,RED BANANA,,SEVAALAI
535,HILL BANANA,,MALAI VAALAI
536,KARPOORAVALLI,,THEEN VAALAI
537,POMEGRANATE,,MAADHULAI
538,ORANGE,,MALTA
539,SWEET LIME,,SAATHUKUDI
540,GUAVA,,KOYYA
541,INDIAN APPLE,,
542,ROYAL APPLE,,
543,GREEN APPLE,,
544,MUSKMELON,,MULAM PALAM
545,GREEN GRAPES,,PACHAI THIRATCHAI
546,PANEER GRAPES,,KARUPPU THIRATCHAI
547,NENDRAN BANANA,,
548,PINEAPPLE,,ANNASI
549,WATERMELON,,DHARBOOSINI
550,KAMALA ORANGE,,
551,STRAWBERRY,,
552,GREEN CAPSICUM,,KUDAI MILAGAI
553,LADY'S FINGER,,VENDAIKAI
554,RAW MANGO,,MAANGAI
555,BEETROOT,,
556,KOHLRABI,,NOOKAL
557,RADDISH,,MULLANGI
558,BEANS,,
559,IVY GUARD,,KOVAI KAI
560,SWEET POTATO,,SAKKARAI VALLI KILANGU
561,CHOW CHOW,,
562,POTATO,,URULAI
563,POTATO,,URULAI
564,ORGANIC CUCUMBER,,VELLARI
565,AMLA,,NELLI KAI
566,BROADBEANS,,AVARAI
567,SNAKE GUARD,,PUDALANGAI
568,LEMON,,ELUMICHAI
569,GREEN CHILLI,,PACHAI MILAGAI
570,BRINJAL,,KATHIRI KAI
571,CARROT,,
572,ONION,,PERIYA VENGAYAM
573,SMALL ONION,,CHINNA VENGAYAM
574,GINGER,,INJI
575,TOMATO,,NATTU THAKKALI
576,COLOCASIA,,CHEPA KELANGU
577,CORIANDER LEAF,,KOTTHAMALI KATTU
578,MINT,,PUDINA KATTU
579,CABBAGE,,MUTTAI KOSE
580,BOTTLE GUARD,,SURAI KAI
581,SPINACH,,KEERAI
582,PLANTAIN,,VALAI KAI
583,PLANTAIN STEM,,VALAI THANDU
584,PLANTAIN FLOWER,,VAALAI POO
585,COCONUT,,THENGAI
586,MUSHROOM,,KALAN
587,VELD GRAPE,,PIRANDAI
588,DRUM STICK,,MURUNGAI KAI
589,BITTER GUARD,,PAVA KAI
590,IVY GUARD,,PARUVAL KOVAI KAI
591,ALVALI KELANGU,,MARAVALLI KILANGU
592,CAULIFLOWER,,
593,BROCOLLI,,
594,SUKKINI VELLARI,,
595,SWEET CORN,,
596,YELLOW PUMPKIN,,MANJAL POOSANI KAI
597,ELEPHANT YAM,,SENAI KILANGU
598,COLOR CAPSICUM,,KUDAI MILAGAI
599,CLUSTER BEAN,,KOTTHAVARANGAI
600,DRY STRAWBERRY,,
601,DRY PINEAPPLE,,
602,DRY KIWI,,
603,DRY PLUMS,,
604,DRY CHERRY,,
605,DRY CRANBERRY,,
606,DRY AMLA,,NELLI
607,DRY FIG,,ATTHI
608,COUNTRY EGG,,NAATU KOLI MUTTAI
609,HILL GARLIC,,MALAI POONDU
610,AK TETRA BUTTERMILK PLAIN,200ML,
611,AK TETRA  BUTTERMILK SPICED,200ML,
612,AK  PACKET BUTTERMILK SPICED,200ML,
613,AK  PACKET CURD,,
614,AK A2  PACKET CURD,,
615,AK PACKET BUTTERMILK PLAIN,200ML,
616,AK BOX CURD,,
617,AK BOX CURD,,
618,AK BOX  CURD,,
619,AK PROBIOTIC PACKET  CURD,,
620,AK A2 COW MILK PAST,500ML,
621,AK COW MILK PAST,500ML,
622,LENTIL POWDER,100GM,PARUPPU PODI
623,PEANUT POWDER,100GM,NILAKADALAI PODI
